name,mass (g),fall,year,reclat,reclong,GeoLocation
De Nova,12700.0,Found,1940.0,39.85,-102.95,"(39.85, -102.95)"
Deep Springs,11500.0,Found,1846.0,36.5,-79.75,"(36.5, -79.75)"
Densmore (1879),37200.0,Found,1879.0,39.65,-99.68333,"(39.65, -99.68333)"
Densmore (1950),11300.0,Found,1950.0,39.56583,-99.64722,"(39.56583, -99.64722)"
Denton County,5400.0,Found,1856.0,33.0,-97.0,"(33.0, -97.0)"
Deport,15000.0,Found,1926.0,33.51667,-95.3,"(33.51667, -95.3)"
Deport (a),604.0,Found,1944.0,33.51667,-95.3,"(33.51667, -95.3)"
Dexter,1724.0,Found,1889.0,33.81667,-97.0,"(33.81667, -97.0)"
Dimmitt,200000.0,Found,1942.0,34.58333,-102.16667,"(34.58333, -102.16667)"
Dispatch,220.0,Found,1956.0,39.5,-98.53333,"(39.5, -98.53333)"
Dix,44000.0,Found,1927.0,41.23333,-103.48333,"(41.23333, -103.48333)"
Dora (pallasite),7600.0,Found,1955.0,33.92667,-103.955,"(33.92667, -103.955)"
Doyleville,112.0,Found,1887.0,38.41667,-106.58333,"(38.41667, -106.58333)"
Dresden (Kansas),6760.0,Found,1953.0,39.61667,-100.46306,"(39.61667, -100.46306)"
Drum Mountains,529000.0,Found,1944.0,39.5,-112.9,"(39.5, -112.9)"
Duchesne,22700.0,Found,1906.0,40.38333,-110.86667,"(40.38333, -110.86667)"
Duel Hill (1854),21800.0,Found,1854.0,35.85,-82.7,"(35.85, -82.7)"
Duel Hill (1873),11300.0,Found,1873.0,35.85,-82.7,"(35.85, -82.7)"
Dumas (a),46050.0,Found,1956.0,35.9,-101.9,"(35.9, -101.9)"
Duncanville,17800.0,Found,1961.0,32.63333,-96.86667,"(32.63333, -96.86667)"
Dungannon,13000.0,Found,1922.0,36.85,-82.45,"(36.85, -82.45)"
Dwight,4100.0,Found,1940.0,38.85,-96.58333,"(38.85, -96.58333)"
Eagle Station,36000.0,Found,1880.0,38.61667,-84.96667,"(38.61667, -84.96667)"
Edmonson (a),12000.0,Found,1955.0,34.28333,-101.83333,"(34.28333, -101.83333)"
Edmonton (Canada),7340.0,Found,1939.0,53.66667,-113.41667,"(53.66667, -113.41667)"
Edmonton (Kentucky),10200.0,Found,1942.0,37.03333,-85.63333,"(37.03333, -85.63333)"
El Burro,35900.0,Found,1939.0,29.33333,-101.83333,"(29.33333, -101.83333)"
El Capitan,27500.0,Found,1893.0,33.5,-105.5,"(33.5, -105.5)"
El Paso,276.0,Found,1950.0,31.78333,-106.23333,"(31.78333, -106.23333)"
El Rancho Grande,40.7,Found,1954.0,37.0,-105.0,"(37.0, -105.0)"
Elkhart,573.0,Found,1936.0,37.01667,-101.88333,"(37.01667, -101.88333)"
Ellicott,15700.0,Found,1960.0,38.80778,-104.56944,"(38.80778, -104.56944)"
Ellis County,4692.0,Found,1948.0,38.78333,-99.33333,"(38.78333, -99.33333)"
Elm Creek,7000.0,Found,1906.0,38.5,-96.2,"(38.5, -96.2)"
Elton,1900.0,Found,1936.0,33.71667,-100.83333,"(33.71667, -100.83333)"
Emery,16700.0,Found,1962.0,43.56333,-97.58333,"(43.56333, -97.58333)"
Emmitsburg,450.0,Found,1854.0,39.71667,-77.3,"(39.71667, -77.3)"
Enon,763.0,Found,1883.0,39.86667,-83.95,"(39.86667, -83.95)"
Estacado,290000.0,Found,1883.0,33.9,-101.75,"(33.9, -101.75)"
Eunice,2300.0,Found,1961.0,34.47,-101.75833,"(34.47, -101.75833)"
Eustis,502.0,Found,1918.0,28.83333,-81.68333,"(28.83333, -81.68333)"
Fairburn,445.0,Found,1907.0,43.603,-103.026,"(43.603, -103.026)"
Faith,105000.0,Found,1952.0,45.33333,-102.08333,"(45.33333, -102.08333)"
Farley,19400.0,Found,1936.0,36.33333,-104.05,"(36.33333, -104.05)"
Farnum,4200.0,Found,1937.0,40.25,-100.23333,"(40.25, -100.23333)"
Ferguson Switch,1700.0,Found,1937.0,34.0,-101.5,"(34.0, -101.5)"
Fillmore,113.0,Found,1916.0,49.883333,-103.6,"(49.883333, -103.6)"
Finney,10700.0,Found,1962.0,34.26667,-101.56667,"(34.26667, -101.56667)"
Flagg,7000.0,Found,1954.0,34.43333,-102.51667,"(34.43333, -102.51667)"
Fleming,1750.0,Found,1940.0,40.68333,-102.81667,"(40.68333, -102.81667)"
Floydada,12500.0,Found,1912.0,33.98333,-101.28333,"(33.98333, -101.28333)"
Forestburg (a),26100.0,Found,1957.0,33.50667,-97.65139,"(33.50667, -97.65139)"
Forestburg (b),26600.0,Found,1957.0,33.49556,-97.58861,"(33.49556, -97.58861)"
Forsyth County,22700.0,Found,1891.0,36.1,-80.2,"(36.1, -80.2)"
Fort Pierre,15900.0,Found,1856.0,44.35,-100.38333,"(44.35, -100.38333)"
Fort Stockton,4762.8,Found,1952.0,30.91667,-103.06667,"(30.91667, -103.06667)"
Four Corners,25000.0,Found,1924.0,37.0,-109.05,"(37.0, -109.05)"
Franceville,18800.0,Found,1890.0,38.81667,-104.61667,"(38.81667, -104.61667)"
Frankfort (iron),10900.0,Found,1866.0,38.2,-84.83333,"(38.2, -84.83333)"
Franklin,9062.0,Found,1921.0,36.71667,-86.56667,"(36.71667, -86.56667)"
Franklinville,108.0,Found,1888.0,38.5,-100.0,"(38.5, -100.0)"
Freda,268.0,Found,1919.0,46.38333,-101.23333,"(46.38333, -101.23333)"
Fremont Butte,6647.0,Found,1963.0,38.5,-105.5,"(38.5, -105.5)"
Gahanna,1201.0,Found,1950.0,40.01667,-82.86667,"(40.01667, -82.86667)"
Gail,4650.0,Found,1948.0,32.7,-101.6,"(32.7, -101.6)"
Garden Head,1296.0,Found,1944.0,49.81667,-108.46,"(49.81667, -108.46)"
Garnett,4788.0,Found,1938.0,38.26667,-95.25,"(38.26667, -95.25)"
Giroux,4275.0,Found,1954.0,49.61667,-96.55,"(49.61667, -96.55)"
Gladstone (stone),57300.0,Found,1936.0,36.3,-104.0,"(36.3, -104.0)"
Glasgow,20400.0,Found,1922.0,37.01667,-85.91667,"(37.01667, -85.91667)"
Glen Rose (iron),11000.0,Found,1934.0,32.25,-97.71667,"(32.25, -97.71667)"
Glorieta Mountain,148000.0,Found,1884.0,35.6,-105.8,"(35.6, -105.8)"
Goodland,3628.0,Found,1923.0,39.35,-101.66667,"(39.35, -101.66667)"
Goose Lake,1169500.0,Found,1938.0,41.98,-120.54167,"(41.98, -120.54167)"
Grady (1933),4230.0,Found,1933.0,34.8,-103.31667,"(34.8, -103.31667)"
Grady (1937),9300.0,Found,1937.0,34.8,-103.31667,"(34.8, -103.31667)"
Grand Rapids,51700.0,Found,1883.0,42.96667,-85.76667,"(42.96667, -85.76667)"
Grant,525000.0,Found,1929.0,35.16667,-107.88333,"(35.16667, -107.88333)"
Grant County,2300.0,Found,1936.0,37.46667,-101.43333,"(37.46667, -101.43333)"
Greenbrier County,5000.0,Found,1880.0,37.83333,-80.31667,"(37.83333, -80.31667)"
Gretna,82000.0,Found,1912.0,39.93333,-99.21667,"(39.93333, -99.21667)"
Gruver,13100.0,Found,1934.0,36.33333,-101.4,"(36.33333, -101.4)"
Guadaloupe County,20.5,Found,1950.0,29.5,-98.0,"(29.5, -98.0)"
Guffey,309000.0,Found,1907.0,38.76667,-105.51667,"(38.76667, -105.51667)"
Guilford County,1100.0,Found,1822.0,35.56667,-79.83333,"(35.56667, -79.83333)"
Gun Creek,22700.0,Found,1909.0,34.0,-111.0,"(34.0, -111.0)"
Hale Center (no. 1),610.0,Found,1936.0,34.05,-101.75,"(34.05, -101.75)"
Hale Center (no. 2),695.0,Found,1936.0,34.05,-101.75,"(34.05, -101.75)"
Hammond,24000.0,Found,1884.0,44.91667,-92.43333,"(44.91667, -92.43333)"
Harding County,3075.0,Found,1941.0,45.5,-103.5,"(45.5, -103.5)"
Hardwick,7800.0,Found,1937.0,43.8,-96.16667,"(43.8, -96.16667)"
